Date,WALMEX.MX,AMXL.MX,BIMBOA.MX,CEMEXCPO.MX,GMEXICOB.MX,FEMSAUBD.MX,PE&OLES.MX,TLEVICPO.MX,GFINBURO.MX,ELEKTRA.MX,AC.MX,ALFAA.MX,ALSEA.MX,BBAJIOO.MX,BOLSAA.MX,GCC.MX,GENTERA.MX,GFNORTEO.MX,GCARSOA1.MX,GRUMAB.MX,KIMBERA.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MEXCHEM.MX,OMAB.MX,PINFRA.MX,RA.MX,SANMEXB.MX,TLEVISACPO.MX,VASCONI.MX,VITROA.MX
2009-03-17 00:00:00,16.639999389648438,,13.202500343322754,5.60664176940918,9.472820281982422,35.86000061035156,142.55999755859375,,18.5,440.2099914550781,25.790000915527344,1.8243989944458008,3.720839023590088,,8.479999542236328,26.899999618530273,,18.450000762939453,15.771997451782227,4.239999771118164,15.5600004196167,3.424999952316284,34.0,16.0,,12.609999656677246,15.5600004196167,,,37.459999084472656,5.980000019073486,4.309999942779541
2009-03-18 00:00:00,16.5049991607666,,13.53499984741211,5.873624801635742,9.9990873336792,36.0099983215332,146.63999938964844,,18.610000610351562,464.9200134277344,25.799999237060547,1.738523006439209,3.896167039871216,,8.289999961853027,26.0,,18.959999084472656,16.3342342376709,4.369999885559082,15.673333168029785,3.4000000953674316,34.0,15.489999771118164,,13.270000457763672,16.0,,,37.20000076293945,5.980000019073486,4.28000020980835
2009-03-19 00:00:00,17.0,,13.267499923706055,5.803366184234619,10.125781059265137,36.11000061035156,151.02999877929688,,18.34000015258789,457.2900085449219,25.709999084472656,1.812522053718567,3.7500600814819336,,7.929999828338623,26.899999618530273,,18.790000915527344,16.39779281616211,4.360000133514404,15.329999923706055,3.4000000953674316,34.0,15.0,,12.850000381469727,16.0,,,36.90999984741211,5.5,4.309999942779541
2009-03-20 00:00:00,16.940000534057617,,13.1850004196167,5.100779056549072,9.901630401611328,36.220001220703125,143.22999572753906,,18.28499984741211,450.3699951171875,25.5,1.8636820316314697,3.7500600814819336,,7.849999904632568,27.399999618530273,,18.90999984741211,15.703551292419434,4.809999942779541,15.510000228881836,3.424999952316284,34.0,14.960000038146973,,12.529999732971191,16.010000228881836,,,36.540000915527344,5.5,4.25
2009-03-23 00:00:00,17.274999618530273,,13.167499542236328,5.7050042152404785,10.720269203186035,37.77000045776367,152.2100067138672,,18.440000534057617,456.9599914550781,25.68000030517578,1.961434006690979,3.9253880977630615,,8.149999618530273,28.0,,19.729999542236328,16.21200942993164,5.53000020980835,16.16666603088379,3.6500000953674316,34.0,15.170000076293945,,12.989999771118164,17.0,,,39.41999816894531,5.699999809265137,4.309999942779541
2009-03-24 00:00:00,17.239999771118164,,13.234999656677246,6.105477809906006,10.768998146057129,37.4900016784668,152.02999877929688,,17.975000381469727,460.20001220703125,25.299999237060547,1.9943230152130127,4.032532215118408,,8.100000381469727,28.600000381469727,,20.84000015258789,16.549352645874023,6.730000019073486,15.986665725708008,3.4649999141693115,34.0,15.09000015258789,,12.890000343322754,16.600000381469727,,,38.810001373291016,5.300000190734863,4.170000076293945
2009-03-25 00:00:00,17.510000228881836,,13.217499732971191,6.189788818359375,11.002894401550293,37.31999969482422,148.55999755859375,,17.875,451.8800048828125,24.979999542236328,1.92215096950531,3.9351279735565186,,8.079999923706055,28.600000381469727,,21.520000457763672,16.27067756652832,6.110000133514404,15.976666450500488,3.424999952316284,34.0,14.539999961853027,,12.640000343322754,16.5,,,38.59000015258789,5.300000190734863,4.110000133514404
2009-03-26 00:00:00,18.0049991607666,,13.010000228881836,6.49190092086792,11.246537208557129,37.119998931884766,152.75,,18.610000610351562,454.3500061035156,24.90999984741211,2.009852886199951,3.9253880977630615,,8.0,28.600000381469727,,22.969999313354492,16.705801010131836,6.0,15.823332786560059,3.450000047683716,34.0,14.600000381469727,,13.100000381469727,16.5,,,40.869998931884766,5.289999961853027,4.28000020980835
2009-03-27 00:00:00,18.084999084472656,,12.979999542236328,6.498927116394043,10.768998146057129,36.52000045776367,153.52000427246094,,18.44499969482422,445.6700134277344,25.360000610351562,2.0116798877716064,3.974090099334717,,8.100000381469727,28.600000381469727,,21.729999542236328,16.539573669433594,5.949999809265137,15.670000076293945,3.450000047683716,34.0,14.6899995803833,,13.140000343322754,17.360000610351562,,,39.81999969482422,5.289999961853027,4.349999904632568
2009-03-30 00:00:00,17.399999618530273,,12.332500457763672,6.0844011306762695,9.813919067382812,35.540000915527344,147.9499969482422,,17.989999771118164,442.8699951171875,25.100000381469727,2.0052850246429443,3.7792820930480957,,7.949999809265137,28.600000381469727,,18.709999084472656,16.485794067382812,5.599999904632568,15.036665916442871,3.5999999046325684,33.0,13.699999809265137,,12.789999961853027,16.75,,,38.27000045776367,5.739999771118164,4.300000190734863
2009-03-31 00:00:00,16.53499984741211,,13.149999618530273,6.267073154449463,10.145273208618164,35.86000061035156,148.1699981689453,,18.325000762939453,470.20001220703125,24.889999389648438,2.0052850246429443,4.052012920379639,,7.849999904632568,28.600000381469727,,18.829999923706055,16.73024559020996,5.309999942779541,15.289999961853027,3.7049999237060547,33.0,14.319999694824219,,13.0,18.610000610351562,,,38.75,5.739999771118164,4.449999809265137
